device,runner,a_dtype,b_dtype,group_size,m,k,n,latency
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,16384,8192,0.05488000065088272
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,16384,8192,0.04520000144839287
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,16384,8192,0.21915200352668762
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,16384,8192,0.052191998809576035
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,28672,8192,0.26444798707962036
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,28672,8192,0.2651039958000183
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,28672,8192,0.08191999793052673
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,28672,8192,0.07331199944019318
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,28672,8192,0.37254399061203003
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,28672,8192,0.08188799768686295
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,8192,16384,0.16788800060749054
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,8192,16384,0.1536960005760193
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,8192,16384,0.052671998739242554
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,8192,16384,0.044863998889923096
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,8192,16384,0.21561600267887115
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,8192,16384,0.05081599950790405
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,8192,57344,0.5060480237007141
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,8192,57344,0.49244800209999084
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,8192,57344,0.15851200371980667
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,8192,57344,0.13105600327253342
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,8192,57344,0.47200000286102295
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,8192,57344,0.1502079963684082
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,28672,8192,0.2651039958000183
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,28672,8192,0.26579201221466064
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,28672,8192,0.0820159986615181
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,28672,8192,0.07470400258898735
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,28672,8192,0.372624009847641
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,28672,8192,0.08209599927067757
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,8192,8192,0.09671999886631966
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,8192,8192,0.15697599947452545
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,8192,8192,0.03452799841761589
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,8192,8192,0.04915200173854828
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,8192,8192,0.11673600226640701
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,8192,8192,0.029551999643445015
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,12288,8192,0.1313759982585907
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,12288,8192,0.23470400273799896
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,12288,8192,0.04475199989974499
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,12288,8192,0.0679360032081604
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,12288,8192,0.16889600455760956
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,12288,8192,0.042367998510599136
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,16384,8192,0.16707199811935425
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,16384,8192,0.3065599948167801
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,16384,8192,0.0551999993622303
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,16384,8192,0.08777599781751633
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,16384,8192,0.2202560007572174
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,16384,8192,0.05193600058555603
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,28672,8192,0.2651520073413849
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,28672,8192,0.5246559977531433
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,28672,8192,0.08224000036716461
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,28672,8192,0.14547200500965118
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,28672,8192,0.37507200241088867
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,28672,8192,0.08348800241947174
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,8192,16384,0.15910400450229645
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,8192,16384,0.30211201310157776
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,8192,16384,0.05286400020122528
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,8192,16384,0.08460800349712372
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,8192,16384,0.21646399796009064
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,8192,16384,0.05135999992489815
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,8192,57344,0.5080160200595856
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,8192,57344,0.9740000069141388
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,8192,57344,0.15908800065517426
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,8192,57344,0.2608480006456375
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,8192,57344,0.468639999628067
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,8192,57344,0.15033599734306335
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,2,28672,8192,0.2651840001344681
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,2,28672,8192,0.5249599814414978
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,2,28672,8192,0.08251200243830681
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,2,28672,8192,0.14531199634075165
NVIDIA-H100-PCIe,triton,float16,uint4b,128,2,28672,8192,0.3721439987421036
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,2,28672,8192,0.08195199817419052
NVIDIA-H100-PCIe,tilelp_acc_in_register,float16,uint4b,128,1,8192,8192,0.05556799843907356
NVIDIA-H100-PCIe,tilelp_evict,float16,uint4b,128,1,8192,8192,0.047279998660087585
NVIDIA-H100-PCIe,tilelp_no_acc_in_register_no_opt_micro_kernel,float16,uint4b,128,1,8192,8192,0.001408000010997057
NVIDIA-H100-PCIe,tilelp_acc_in_register,float16,uint4b,128,1,8192,57344,0.29407998919487
NVIDIA-H100-PCIe,tilelp_evict,float16,uint4b,128,1,8192,57344,0.28355199098587036
NVIDIA-H100-PCIe,tilelp_no_acc_in_register_no_opt_micro_kernel,float16,uint4b,128,1,8192,57344,0.001424000016413629
NVIDIA-GeForce-RTX-4090,tilelp_acc_in_register,float16,uint4b,128,1,8192,8192,0.04710400104522705
NVIDIA-GeForce-RTX-4090,tilelp_evict,float16,uint4b,128,1,8192,8192,0.043007999658584595
NVIDIA-GeForce-RTX-4090,tilelp_no_acc_in_register_no_opt_micro_kernel,float16,uint4b,128,1,8192,8192,0.002047999994829297
NVIDIA-GeForce-RTX-4090,tilelp_acc_in_register,float16,uint4b,128,1,8192,57344,0.2949120104312897
NVIDIA-GeForce-RTX-4090,tilelp_evict,float16,uint4b,128,1,8192,57344,0.2529279887676239
NVIDIA-GeForce-RTX-4090,tilelp_no_acc_in_register_no_opt_micro_kernel,float16,uint4b,128,1,8192,57344,0.002047999994829297
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,256,8192,8192,0.09476799890398979
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,256,8192,8192,0.1403679996728897
NVIDIA-H100-PCIe,triton,float16,uint4b,128,256,8192,8192,0.2556319981813431
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,256,8192,8192,0.25646398961544037
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,256,12288,8192,0.12779200077056885
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,256,12288,8192,0.1934719979763031
NVIDIA-H100-PCIe,triton,float16,uint4b,128,256,12288,8192,0.37750399112701416
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,256,12288,8192,0.40697601437568665
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,512,8192,8192,0.14505599439144135
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,512,8192,8192,0.2826560139656067
NVIDIA-H100-PCIe,triton,float16,uint4b,128,512,8192,8192,0.4501760005950928
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,512,8192,8192,0.2404320016503334
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,512,12288,8192,0.20340799540281296
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,512,12288,8192,0.40196800231933594
NVIDIA-H100-PCIe,triton,float16,uint4b,128,512,12288,8192,0.6516159772872925
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,512,12288,8192,0.344543993473053
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,32,8192,8192,0.0912960022687912
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,32,8192,8192,0.03907199949026108
NVIDIA-H100-PCIe,triton,float16,uint4b,128,32,8192,8192,0.11719999834895134
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,32,8192,8192,0.041728001087903976
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,32,12288,8192,0.12587200105190277
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,32,12288,8192,0.050016000866889954
NVIDIA-H100-PCIe,triton,float16,uint4b,128,32,12288,8192,0.16988800466060638
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,32,12288,8192,0.060495998710393906
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,64,8192,8192,0.09291199967265129
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,64,8192,8192,0.050335999578237534
NVIDIA-H100-PCIe,triton,float16,uint4b,128,64,8192,8192,0.15503999590873718
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,64,8192,8192,0.0804160013794899
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,64,12288,8192,0.12940800189971924
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,64,12288,8192,0.06958400085568428
NVIDIA-H100-PCIe,triton,float16,uint4b,128,64,12288,8192,0.2247679978609085
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,64,12288,8192,0.11484800279140472
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,32,8192,8192,0.09084799885749817
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,32,12288,8192,0.13598400354385376
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,64,8192,8192,0.09411200135946274
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,64,12288,8192,0.13068799674510956
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,16,8192,8192,0.09087999910116196
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,16,8192,8192,0.03551999852061272
NVIDIA-H100-PCIe,triton,float16,uint4b,128,16,8192,8192,0.11523199826478958
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,16,8192,8192,0.029664000496268272
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,16,12288,8192,0.12468800321221352
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,16,12288,8192,0.045712001621723175
NVIDIA-H100-PCIe,triton,float16,uint4b,128,16,12288,8192,0.16948799788951874
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,16,12288,8192,0.041152000427246094
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,128,8192,8192,0.09299200028181076
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,128,8192,8192,0.08588799834251404
NVIDIA-H100-PCIe,triton,float16,uint4b,128,128,8192,8192,0.20003199577331543
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,128,8192,8192,0.14457599818706512
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,128,12288,8192,0.12956800311803818
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,128,12288,8192,0.11233599856495857
NVIDIA-H100-PCIe,triton,float16,uint4b,128,128,12288,8192,0.28540799021720886
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,128,12288,8192,0.21159999817609787
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,16,8192,8192,0.07660800218582153
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,16,12288,8192,0.10547199845314026
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,32,8192,8192,0.12888000160455704
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,32,12288,8192,0.1799039989709854
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,64,8192,8192,0.13836799561977386
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,64,12288,8192,0.19620800018310547
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,128,8192,8192,0.15702399611473083
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,128,12288,8192,0.2199999988079071
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,256,8192,8192,0.2747519910335541
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,256,12288,8192,0.3971039950847626
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,512,8192,8192,0.5378719866275787
NVIDIA-H100-PCIe,gemlite,float16,uint4b,128,512,12288,8192,0.8609760105609894
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,16,8192,8192,0.24268800020217896
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,16,8192,8192,0.06348799914121628
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,16,8192,8192,0.11980800330638885
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,16,8192,8192,0.05859199911355972
NVIDIA-GeForce-RTX-4090,gemlite,float16,uint4b,128,16,8192,8192,0.06963200122117996
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,16,8192,8192,0.4638719856739044
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,16,12288,8192,0.2959039956331253
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,16,12288,8192,0.0870399996638298
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,16,12288,8192,0.1658879965543747
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,16,12288,8192,0.08396799862384796
NVIDIA-GeForce-RTX-4090,gemlite,float16,uint4b,128,16,12288,8192,0.09113600105047226
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,16,12288,8192,0.7219200134277344
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,32,8192,8192,0.20684799551963806
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,32,8192,8192,0.0655359998345375
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,32,8192,8192,0.12376000359654427
